job_title,required_skills
big data engineer,"analysis, business requirements, change management, css, development, dns, html, http, lifecycle, management, powershell, security, windows"
threat analyst,".net, architecture, content management, database, development, erp, management, peoplesoft, protocol, quality assurance, sap, scripts, sdlc, sql, sql server, test plan, transact, sql"
business intelligence developer,"access, crm, database, it, libraries, sdlc, sql, telecom"
master data analyst,"access, adobe, api, applications, browsers, database, development, flash, html, it, javascript, linux, management, mysql, mysql, php, python, scripts, sql, sql server, telecom, web, windows"
java developer,".net, access, analysis, application, applications, architecture, automated, business requirements, data analysis, database, development, erp, foundation, it, java, management, multi, threaded, oracle, peoplesoft, pl, sql, project management, scripts, security, sql, supply chain, supply chain management, systems, telecom, web, windows"
health systems analyst,"healthcare claims, erisa, cobra, hipaa. sql, sdlc"
big data engineer,"tad pgs, reliable "
big data engineer,"javascript, angular js, typescript, sencha extjs 6, react, backbone, framework, user interface, sass, less, css 3, html 5, client web technology, rest, odata, json"
business intelligence developer,"access, application, architecture, b2b, bmc, ibm, it, linux, middleware, solaris, systems, telecom, tibco, unix, websphere"
tech support jobs,".net, access, aml, application, business requirements, c#, development, iis, it, management, software, sql, sql server, telecom, vb, windows"
it risk analyst,c2h w2
oracle dba,"access, analysis, analytical, applications, business requirements, data analysis, excel, it, management, microsoft access, oracle, pl, sql, sql, system, systems, telecom"
business intelligence developer,"business intelligence, erp, foundation, informatica, oracle, security"
business analyst,"analysis, business requirements, css, customer service, data analysis, data warehouse, development, excel, hadoop, html, http, lifecycle, management, microsoft excel, pl, sql, postgresql, project management, sql"
java developer,"angularjs, nodejs"
data manager,"contract w2, 12 months"
information management specialist,"tad pgs, reliable "
business systems analyst,"tad pgs, reliable "
data scientist,"tad pgs, reliable "
data manager,"relationship manager , mortgage planning expertise"
cerner analyst,"outlook, excel, customer service"
data scientist,"algorithms, analysis, apache, case, css, data analysis, development, hadoop, html, http, java, management, matlab, nosql, python, sql, use case"
printer technician,"tad pgs, reliable "
business systems analyst,"access, analysis, analytical, application, business requirements, development, excel, it, powerpoint, quality, quality assurance, scripts, sdlc, software, sql, system, systems, telecom, test"
security researcher,"tad pgs, reliable "
business intelligence developer,"contract w2, 12, 24 months"
business intelligence developer,"access, applications, graphics, gui, html, it, java, jsp, libraries, performance, system, telecom, ux, web"
security architect,"full time, full time"
business intelligence developer,"access, analysis, api, application, applications, change management, database, development, dhtml, http, it, java, javascript, jdbc, management, performance, project management, scripts, soap, software, sql, system, systems, telecom, web, xml"
systems engineer,"access, foundation, it, java, performance, security, systems, telecom"
service desk manager,"customer service, excel, microsoft excel, outlook"
it project manager,"pm, pmp, sap, project online, ariba"
data migration lead,"lead, java, selenium, automation"
devops engineer,"devops, sdn, nfv"
net developer,"css, data warehouse, development, html, http, informatica, management, oracle, sql, tibco, unix, xml"
director software quality assurance,"tad pgs, reliable "
business intelligence developer,"delivering scalable back, ards"
reporting analyst,"analysis, analytical"
