job_title,required_skills
business systems analyst,"access, analysis, analytical, application, business requirements, development, excel, it, powerpoint, quality, quality assurance, scripts, sdlc, software, sql, system, systems, telecom, test"
recruiting sourcer,"tad pgs, reliable "
 django developer,"contract w2, 12, 24 months"
assembly technician ii,"tad pgs, reliable "
gui developer,"access, applications, developer, graphics, gui, html, it, java, jsp, libraries, performance, system, telecom, ux, web"
sql server datawarehouse architect,"full time, full time"
servicenow developer,"access, analysis, api, application, applications, change management, consulting, database, development, dhtml, http, it, java, javascript, jdbc, management, performance, project management, scripts, soap, software, sql, system, systems, telecom, web, xml"
systems engineer,"access, engineer, foundation, it, java, performance, project, security, systems, telecom"
customer service representative,"customer service, excel, microsoft excel, outlook"
project manager,"pm, pmp, sap, project online, ariba"
software team lead,view
lead qa,"lead, java, selenium, automation"
devops staff engineer,"devops, sdn, nfv"
etl developer,"css, data warehouse, development, html, http, informatica, management, oracle, scheduling, sql, tibco, unix, xml"
quality inspector,"tad pgs, reliable "
python developer,"delivering scalable back, back, best practices back"
financial reporting analyst,"analysis, analytical"
electrical engineer ii,"tad pgs, reliable "
application programmer v specialist,"ajax, angularjs, apache, database, dhtml, html, j2ee, java, javascript, jsp, linux, management, programming, soap, solaris, sql, sql server, sybase, tibco, uml, unix, windows, xml"
software development engineer,"access, basic, consulting, development, engineering, engineers, it, javascript, management, micro, next, php, python, quality, security, software, systems, telecom, ux, web"
pcie design,"pcie, rtl design, spyglass"
labview software programmer,"tad pgs, reliable "
enterprise domain architect,"supply chain management, enterprise it architect, integration"
data scientist,"css, database, hadoop, html, http, nosql"
product manager,"full time, full time"
software specialist vi,"tad pgs, reliable "
splunk admin,"configuration management, css, html, http, linux, management, scripts, windows"
sdet qa automation engineer,"restful, automation, java, selenium"
vm ware consultant,"cisco, citrix, vm, windows"
it project manager,"agile, analytical"
java server side,"access, applications, architecture, developer, development, it, java, javascript, linux, protocols, software, system, telecom, unix, web"
test technician,"tad pgs, reliable "
technology audit vp,full time
project manager,"csp, certification, .net"
software developer,"access, application, applications, automated, consult, customer service, db2, development, it, iterative, iterative development, j2ee, java, management, metrics, oop, oracle, pl, sql, software, sql, systems, telecom, test"
solutions architect,"analysis, architecture, css, data architecture, data warehouse, development, html, http, management, metrics, qa, security, supervision"
 system engineer,"api, ccie, ccna, ccnp, circuit, circuit design, cisco, customer service, engineering, foundation, html, java, management, network, protocols, routers, switches, system, systems, telecommunications, wan, windows, xml"
support engineer,"spanish, portuguese, windows, azure, cloud, operating system, operating systems, os"
database engineer,"access, applications, architecture, business requirements, configuration management, database, engineers, it, linux, management, oracle, sdlc, security, sql, sql server, systems, telecom, web, windows"
qa test automation engineer,"test automation, fitnesse, selenium, agile, scrum, functional, integration, performance"
java developer,"agile, developer, development, http, inquire, java, scrum, sdlc"
pharmacy tech,"automated, protocols, robotic, supervision, technician"
lead cloud engineer,"restful services, j2ee, nosql"
testing  analyst,"development, http, lifecycle, management, pmp, project management, qa, quality assurance, scripts, sdlc"
big data solution architect,"agile, api, architecture, business requirements, data warehouse, development, genetic, hadoop, java, management, nosql"
software engineer,"analysis, development, git, hadoop, http, linux, nosql, unix, version control"
oms  architect,need consultants
business systems analyst,"analysis, excel, metrics, pl, sql, sql"
respiratory rapist,"analysis, circuit, management, robotic"
solution architect,"agile, architecture, automated, business intelligence, development, genetic, hadoop, management, nosql, sql, system architecture, uml"
web developer,"ajax, business requirements, development, dhtml, html, java, javascript, management, release"
mq middleware support,"architecture, b2b, bmc, inquire, linux, middleware, solaris, unix"
enterprise systems engineer,"unix, vmware, enterprise"
qa automation engineer,".net, agile, c++, git, java, jenkins, qa, release"
field services analyst iii,"aml, analysis, audio visual, citrix, customer service, diagnostic, encryption, excel, hardware, management, metrics, ms office, networks, outlook, project, project management, protocol, tcp, ip, vmware, windows"
java developer 12676,"it, information technology, java, ooad, java ee, web service technologies, soap, rest"
security engineer,"security, checkpoint"
security architect,".net, analysis, architecture, database, development, management, project management, security"
 top secret clearance,"architecture, citrix, firewall, testing, vmware"
sap consultant,"architecture, development, sap, testing"
it systems analyst,"agile, aml, analysis, analytical"
salesforce technical lead,"salesforce sales cloud , service cloud, apex, sql, javascript, html , salesforce sales cloud , service cloud, apex, sql, javascript, html"
sales engineer,"pre, html, css, product demonstrations , technical pre, sales, develop customer relationships , pre, html, css, product demonstrations , technical pre, sales, develop customer relationships"
web developer,"javascript, css, html, jquery, sql server, java, web applications , javascript, css, html, jquery, sql server, java, web applications"
hybrid mobile developer,"html5, css3, angularjs, cordova, phone gap , html5, css3, angularjs, cordova, phone gap"
marketing analyst,"sas, ma, toad, sas, ms, access."
business intelligence analyst,sql
sap vc,"crm, development, excel, html, http, lifecycle, project, recruiter, sap, supply chain"
mechanical engineer,"solidworks, product development, electronics cooling, gd&t, asme, shock , vibration, drawing standards, small precision components , solidworks, product development, electronics cooling, gd&t, asme, shock , vibration, drawing standards, small precision components"
information security manager,"it security, cissp, cism, cisa, ceh, cryptography, it control, security policies, processes, risk management , it security, cissp, cism, cisa, ceh, cryptography, it control, security policies, processes, risk management"
data communication analyst,"cisco, forth, genetic, help desk, lan, management, routers, switches, wan"
disaster recovery project manager,"disaster recovery, project management, architecture, infrastructure, "
network engineer,"network traffic optimization, cisco , juniper routers , switches management, ip network design , routing architectures, linux, unix related tools , network traffic optimization, cisco , juniper routers , switches management, ip network design , routing architectures, linux, unix related tools"
insurance consulting leader,"agile, architecture, change management, development, management, re"
telecommute backend software engineer,"python, spark, apache spark, cassandra, scala, hadoop , python, spark, apache spark, cassandra, scala, hadoop"
elixir engineer,"elixir, python, ruby on rails , elixir, python, ruby on rails"
core java developer,"core java, jbpm, multithread"
junior qa engineer,"quality assurance, sqa, sqe, manual, agile, web, smoke, white box, black box, regression, sql, software, jira, computer science, mis"
sap lshc  manager,"costing, crm, development, excel, html, http, lifecycle, management, project management, recruiter, sap, supply chain"
business systems analyst,supply chain
java developer,java android
information systems security engineer,"architecture, cissp, cisco, development, exchange, hardware, hp, ux, lan, linux, management, ms office, protocol, protocols, risk management, routers, security, solaris, unix, ux, wan, windows"
biomedical engineer,"biomaterials, regulatory compliance, analytics, bla regulatory knowledge, inds regulatory knowledge, data analysis, pre, clinical and, product development , biomaterials, regulatory compliance, analytics, bla regulatory knowledge, inds regulatory knowledge, data analysis, pre, clinical and, product development"
full stack developer,"c#, javascript, php, mysql, ui , c#, javascript, php, mysql, ui"
undergrad intern,"change management, development, forth, genetic, help desk, intern, management, outlook, project manager, ups"
platform software engineer,"linux, linux kernel, c++, python , linux, linux kernel, c++, python"
developer in test,processes.
embedded software engineer,"plan , write internal "
multiple ruby on rails,"ruby, rails, ruby on rails, software engineer, principal software engineer, software architect, ruby 2.1, rails 4, postgres, backbone"
big data engineer,"big data , python , apache spark , scala , hadoop , hive "
software engineer,"java, spring framework, mssql, mysql, javascript, linux, git , github, php, junit , java, spring framework, mssql, mysql, javascript, linux, git , github, php, junit"
net developer,"asp.net, mvc, javascript, jquery"
lead mobile application developer,"mobile, ios, android, html5, hybrid, restful, phonegap, git"
sap successfactors,"development, excel, html, http, powerpoint, recruiter, sap, sales"
lead net developer,"angularjs, entity framework, db design, integration solutions"
devops engineer,"linux, amazon web services, configuration management, scripting , linux, amazon web services, configuration management"
hpc apps,"hpc application , tools, xcat, lsf, mpi, openmp, ganglia, nagios, openfabrics, infiniband"
control systems engineer,"control systems, automation systems, deltav, emerson products, cgmp , control systems, automation systems, deltav, emerson products, cgmp"
sap successfactors,"development, excel, html, http, powerpoint, recruiter, sap, sales"
netsuite analyst,"netsuite, erp, crm, javascript, netsuite support , netsuite, erp, crm, javascript, netsuite support"
sap developer,"4.x, sql, data modeling , 4.x, sql"
core java,"core java, spring, struts, hibernate, oracle etc."
strategy consulting,"development, excel, html, http, project, research"
ruby on rails developer,"ruby on rails, javascript, sql, nosql, big data, full stack development , ruby on rails, javascript, sql, nosql, big data, full stack development"
technical architect oaam,"oim, oam"
operations engineer,"linux, azure, chef, puppet, ansible, salt, terraform boto, aws, service deployment , linux, azure, chef, puppet, ansible, salt, terraform boto, aws, service deployment"
sap successfactors,"development, excel, html, http, powerpoint, recruiter, sap, sales"
software architect,"java, j2ee, saas, big data, javascript , java, j2ee, saas, big data, javascript"
fraud investigation analyst,"fraud, investigation, mitigate, mitigate loss"
mainframe developer,"host, iterative, agile , best practices"
web developer,"php, html, css, javascript, jquery, magento, ecommerce web development, php, html, css, javascript, jquery, magento, ecommerce web development"
systems administrator,"noc, data center experience, windows server 2008, windows server 2012, linux, active directory, citrix, vmware not essential, networking not essential , noc, data center experience, windows server 2008, windows server 2012, linux, active directory, citrix, vmware not essential, networking not essential"
back end developer,"python, kafka, spark, storm, aws , python, kafka, spark, storm, aws"
solution architect,"aix, analysis, application servers, architecture, b2b, crm, data architecture, database, data warehouse, db2, development, erp, informatica, j2ee, java, linux, management, oracle, peoplesoft, project, project management, sap, sales, security, shell script, siebel, solaris, unix, websphere, windows, xml"
mechanical engineer,"electronic packagig experience, mechanical design, knowledge of solidworks, surface finishes , vita standards, mil, std, 810"
devops engineer,"aws, linux, configuration management puppet , chef , ansible , aws, linux, configuration management puppet , chef , ansible"
principle sw firmware engineer,"embedded linux c, android, javascript, node.js, angular.js, web based gui, tools, both frontend , backend., ios, linux c, c++, c++ database drivers, networks, sockets, ip stacks, ubuntu, sles build environment, svn , jenkins , embedded linux c, android, javascript, node.js, angular.js, web based gui, tools, both frontend , backend., ios, linux c, c++, c++ database drivers, networks, sockets, ip stacks, ubuntu, sles build environment, svn , jenkins"
javascript developer,"react.js, computer science degree, javascript, jquery, html , css, bootsrap, gulp, node.js, websockets, cryptography , react.js, computer science degree, javascript, jquery, html , css, bootsrap, gulp, node.js, websockets, cryptography"
c++ software engineer,"medical devices, consumer electronics, threaded, processin"
dev ops engineer,"aws, devops"
digital analyst,"aws, azure, sharepoint, ms exchange, lync. .net, ad, mobile, validation, global"
information systems,"management, security, vmware, vpn, windows"
javascript developer,"javascript, ux design, linux, git, react , javascript, ux design, linux, git, react"
project manager,8
product manager,"b2b, saas startup industry, saas web, based software , mobile applications, prototyping tools and, or amazing whiteboard"
mechanical engineer,"cad software, solidworks, epdm , cad software, solidworks, epdm"
successfactors  consultant,"development, excel, http, lifecycle, management, oracle, powerpoint, sap, sap hr"
ux designer,"user experience, wireframes, information architecture, mobile ux, in, agency experience , user experience, wireframes, information architecture, mobile ux, in, agency experience"
java developer,"core java , restful web services"
cognos developer,cognos
business analyst,"qa, powerpoint, visio, excel"
java developer,web services
sap cash management,"sap, cash management, ap, ebs"
